name,age,height,weight,average_rating
Aaron Appindangoye,28,187,182.88,63.6
Aaron Cresswell,31,146,170.18,66.96969696969697
Aaron Doran,29,163,170.18,67.0
Aaron Galindo,38,198,182.88,69.08695652173913
Aaron Hughes,41,154,182.88,73.24
Aaron Hunt,34,161,182.88,77.25925925925925
Aaron Kuhl,24,146,172.72,60.57142857142857
Aaron Lennon,33,139,165.1,79.76923076923077
Aaron Lennox,27,181,190.5,48.0
Aaron Meijers,33,170,175.26,67.05263157894737
Aaron Mokoena,40,181,182.88,71.625
Aaron Mooy,30,150,175.26,66.28571428571429
Aaron Muirhead,30,168,187.96,62.25
Aaron Niguez,31,143,170.18,66.92592592592592
Aaron Ramsey,30,154,177.8,78.5
Aaron Splaine,24,163,172.72,54.625
Aaron Taylor-Sinclair,29,176,182.88,62.611111111111114
Aaron Wilbraham,41,159,190.5,61.77272727272727
Aatif Chahechouhe,34,150,175.26,69.375
Abasse Ba,44,185,187.96,65.6
Abdelaziz Barrada,31,161,177.8,71.85714285714286
Abdelfettah Boukhriss,34,161,185.42,64.0
Abdelhamid El Kaoutari,30,161,180.34,68.28571428571429
Abdelkader Ghezzal,36,172,182.88,68.6923076923077
Abdellah Zoubir,29,161,180.34,59.0
Abdelmajid Oulmers,42,143,172.72,68.8
Abdelmalek Cherrad,39,165,185.42,61.6
Abdelmalek El Hasnaoui,26,159,180.34,63.0
Abdelouahed Chakhsi,34,170,182.88,54.333333333333336
Abderrazak Jadid,37,157,177.8,63.30769230769231
Abdeslam Ouaddou,42,181,190.5,76.6
Abdessalam Benjelloun,35,179,187.96,63.333333333333336
Abdou Diallo,24,159,182.88,63.1
Abdou Traore,32,174,180.34,67.48
Abdoul Ba,26,212,200.66,63.285714285714285
Abdoul Karim Yoda,32,161,182.88,62.77272727272727
Abdoul Razzagui Camara,30,157,177.8,68.29166666666667
Abdoulay Konko,36,157,182.88,74.93548387096774
Abdoulaye Ba,29,174,198.12,70.58064516129032
Abdoulaye Bamba,30,150,182.88,65.33333333333333
Abdoulaye Diaby,29,154,172.72,68.3
"Abdoulaye Diallo Sadio,22",30,168,182.88,72.0
Abdoulaye Diallo,28,174,187.96,65.26315789473684
Abdoulaye Doucoure,27,165,182.88,64.61111111111111
Abdoulaye Faye,42,218,187.96,72.2
Abdoulaye Keita,26,165,175.26,60.0
Abdoulaye Meite,40,181,185.42,69.54545454545455
Abdoulaye Toure,26,170,187.96,59.857142857142854
Abdoulwahid Sissoko,30,165,182.88,64.61904761904762
Abdourahman Dampha,29,168,182.88,59.44444444444444
