,name,age,height,weight,average_rating
7,Aaron Lennon,33,139,165.1,79.76923076923076
14,Aaron Ramsey,30,154,177.8,78.5
5,Aaron Hunt,34,161,182.88,77.25925925925925
30,Abdeslam Ouaddou,42,181,190.5,76.6
37,Abdoulay Konko,36,157,182.88,74.93548387096773
4,Aaron Hughes,41,154,182.88,73.24
44,Abdoulaye Faye,42,218,187.96,72.2
41,"Abdoulaye Diallo Sadio,22",30,168,182.88,72.0
20,Abdelaziz Barrada,31,161,177.8,71.85714285714286
10,Aaron Mokoena,40,181,182.88,71.625
38,Abdoulaye Ba,29,174,198.12,70.5806451612903
46,Abdoulaye Meite,40,181,185.42,69.54545454545455
18,Aatif Chahechouhe,34,150,175.26,69.375
3,Aaron Galindo,38,198,182.88,69.08695652173913
25,Abdelmajid Oulmers,42,143,172.72,68.8
23,Abdelkader Ghezzal,36,172,182.88,68.69230769230771
40,Abdoulaye Diaby,29,154,172.72,68.3
36,Abdoul Razzagui Camara,30,157,177.8,68.29166666666667
22,Abdelhamid El Kaoutari,30,161,180.34,68.28571428571429
33,Abdou Traore,32,174,180.34,67.48
9,Aaron Meijers,33,170,175.26,67.05263157894737
2,Aaron Doran,29,163,170.18,67.0
1,Aaron Cresswell,31,146,170.18,66.96969696969697
13,Aaron Niguez,31,143,170.18,66.92592592592592
11,Aaron Mooy,30,150,175.26,66.28571428571429
19,Abasse Ba,44,185,187.96,65.6
39,Abdoulaye Bamba,30,150,182.88,65.33333333333333
42,Abdoulaye Diallo,28,174,187.96,65.26315789473685
48,Abdoulwahid Sissoko,30,165,182.88,64.6190476190476
43,Abdoulaye Doucoure,27,165,182.88,64.6111111111111
21,Abdelfettah Boukhriss,34,161,185.42,64.0
0,Aaron Appindangoye,28,187,182.88,63.6
31,Abdessalam Benjelloun,35,179,187.96,63.33333333333334
29,Abderrazak Jadid,37,157,177.8,63.30769230769231
34,Abdoul Ba,26,212,200.66,63.28571428571429
32,Abdou Diallo,24,159,182.88,63.1
27,Abdelmalek El Hasnaoui,26,159,180.34,63.0
35,Abdoul Karim Yoda,32,161,182.88,62.77272727272727
16,Aaron Taylor-Sinclair,29,176,182.88,62.611111111111114
12,Aaron Muirhead,30,168,187.96,62.25
17,Aaron Wilbraham,41,159,190.5,61.77272727272727
26,Abdelmalek Cherrad,39,165,185.42,61.6
6,Aaron Kuhl,24,146,172.72,60.57142857142857
45,Abdoulaye Keita,26,165,175.26,60.0
47,Abdoulaye Toure,26,170,187.96,59.85714285714285
49,Abdourahman Dampha,29,168,182.88,59.444444444444436
24,Abdellah Zoubir,29,161,180.34,59.0
15,Aaron Splaine,24,163,172.72,54.625
28,Abdelouahed Chakhsi,34,170,182.88,54.33333333333334
8,Aaron Lennox,27,181,190.5,48.0
